Time,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
10.90697,426.785,53.775,47.55,-0.1267997,-0.629699,-0.08831901,0.7613151
10.92747,426.785,53.775,47.55,-0.1268856,-0.6293843,-0.08767763,0.7616352
10.94776,426.785,53.775,47.55,-0.1269169,-0.6292818,-0.0873737,0.7617497
10.96822,426.785,53.775,47.55,-0.1267991,-0.6292187,-0.08705764,0.7618575
10.98879,426.785,53.775,47.55,-0.1267381,-0.6293366,-0.08670297,0.7618108
11.00909,426.785,53.775,47.55,-0.1266682,-0.6292749,-0.08648321,0.7618983
11.02564,426.785,53.775,47.55,-0.1262103,-0.6294963,-0.08627873,0.7618146
11.04631,426.785,53.775,47.55,-0.1262815,-0.6296204,-0.08624178,0.7617043
11.06649,426.785,53.775,47.55,-0.1260746,-0.6298267,-0.08567978,0.7616315
11.0869,426.785,53.775,47.55,-0.1258352,-0.6300292,-0.08516582,0.7615613
11.1075,426.785,53.775,47.55,-0.1256897,-0.6300003,-0.08464545,0.7616673
11.12805,426.785,53.775,47.55,-0.1255576,-0.6301718,-0.08439525,0.7615749
11.14863,426.785,53.775,47.55,-0.1250533,-0.6301905,-0.0851069,0.7615632
11.16887,426.785,53.775,47.55,-0.1246038,-0.6303814,-0.08518682,0.76147
11.18534,426.785,53.775,47.55,-0.1243693,-0.6304911,-0.08519555,0.7614164
11.20979,426.785,53.775,47.55,-0.124031,-0.630419,-0.08491383,0.7615628
11.22627,426.785,53.775,47.55,-0.123995,-0.6305367,-0.08427424,0.7615423
11.24657,426.785,53.775,47.55,-0.1236761,-0.6305604,-0.08399934,0.761605
11.26757,426.785,53.775,47.55,-0.1236634,-0.6305965,-0.08440338,0.7615324
11.28794,426.785,53.775,47.55,-0.123317,-0.6308261,-0.08460231,0.7613764
11.30803,426.785,53.775,47.55,-0.1228101,-0.6309966,-0.08409464,0.7613732
11.32868,426.785,53.775,47.55,-0.1228553,-0.630749,-0.0837398,0.76161
11.34884,426.785,53.775,47.55,-0.1226306,-0.6307908,-0.08359042,0.7616281
11.36544,426.785,53.775,47.55,-0.1225926,-0.6308106,-0.08308174,0.7616736
11.38587,426.785,53.775,47.55,-0.1223871,-0.6307783,-0.08322438,0.7617177
11.40643,426.785,53.775,47.55,-0.1223005,-0.6309028,-0.08307862,0.7616445
11.42698,426.785,53.775,47.55,-0.1217292,-0.631028,-0.08282989,0.7616594
11.44751,426.785,53.775,47.55,-0.1213951,-0.6313806,-0.08226195,0.761482
11.46772,426.785,53.775,47.55,-0.1209488,-0.631648,-0.08176281,0.7613851
11.48855,426.785,53.775,47.55,-0.1207479,-0.6313726,-0.08133731,0.7616907
11.50878,426.785,53.775,47.55,-0.1205332,-0.6313202,-0.08081149,0.7618243
11.52979,426.785,53.775,47.55,-0.1200473,-0.6315751,-0.08074963,0.7616962
11.54554,426.785,53.775,47.55,-0.1197096,-0.6318178,-0.08022435,0.7616036
11.56617,426.785,53.775,47.55,-0.1195824,-0.6319158,-0.08053533,0.7615095
11.58659,426.785,53.775,47.55,-0.1191265,-0.6320332,-0.08005985,0.7615335
11.60708,426.785,53.775,47.55,-0.1191654,-0.6320764,-0.07983261,0.7615155
11.62759,426.785,53.775,47.55,-0.1186633,-0.6322312,-0.07921395,0.76153
11.64825,426.785,53.775,47.55,-0.118619,-0.6320967,-0.07979753,0.7615877
11.66841,426.785,53.775,47.55,-0.1181185,-0.6320915,-0.07968839,0.7616812
11.68921,426.785,53.775,47.55,-0.1177072,-0.631992,-0.07965269,0.7618312
11.70949,426.785,53.775,47.55,-0.1174112,-0.6319236,-0.07957502,0.7619418
11.72598,426.785,53.775,47.55,-0.1173768,-0.6320782,-0.07930457,0.761847
11.74631,426.785,53.775,47.55,-0.1174152,-0.6319879,-0.07916684,0.7619302
11.76697,426.785,53.775,47.55,-0.117231,-0.6322619,-0.07921713,0.7617261
11.78725,426.785,53.775,47.55,-0.1169691,-0.6322509,-0.07915131,0.7617822
11.80781,426.785,53.775,47.55,-0.1167157,-0.6321966,-0.07917871,0.7618634
11.82819,426.785,53.775,47.55,-0.1164727,-0.632145,-0.07896538,0.7619655
11.849,426.785,53.775,47.55,-0.1162982,-0.6321983,-0.07865547,0.7619798
11.86902,426.785,53.775,47.55,-0.1161998,-0.6320724,-0.0784982,0.7621155
11.88979,426.785,53.775,47.55,-0.1161184,-0.6320039,-0.07864217,0.76217
11.90628,426.785,53.775,47.55,-0.1161345,-0.6319379,-0.07879861,0.7622061
11.92676,426.785,53.775,47.55,-0.1163207,-0.6318743,-0.07924525,0.7621841
11.94748,426.785,53.775,47.55,-0.116397,-0.6316274,-0.07934781,0.7623664
11.96832,426.785,53.775,47.55,-0.1164938,-0.6314077,-0.07950807,0.762517
11.98819,426.785,53.775,47.55,-0.116511,-0.6313934,-0.07959276,0.7625172
12.00859,426.785,53.775,47.55,-0.1163496,-0.6315598,-0.07954478,0.7624092
12.02907,426.785,53.775,47.55,-0.1161678,-0.6315492,-0.07958833,0.762441
12.04567,426.785,53.775,47.55,-0.116096,-0.6314399,-0.07971456,0.7625294
12.0657,426.785,53.775,47.55,-0.1160599,-0.6314245,-0.07977559,0.7625412
12.08634,426.785,53.775,47.55,-0.1163743,-0.6313198,-0.08034743,0.76252
